idx,PREGUNTA,fscores,selected,part
1,"A: A storm was brewing. Nonetheless, the fisherman still went out to the sea.<br>B: ___________________________",-0.6599869007,TRUE,3
2,_____________ a few bananas and a few apples in the fruit bowl.,0.7581313247,FALSE,1
3,"After what happened the last time, ____________________",1.394687752,TRUE,1
4,A good driver _____________,0.4182093396,FALSE,1
5,"A: Has Susan decided about college yet?<br>B: Yes,  I spoke to her last night. ________ to New York.<br>",1.68700144,TRUE,1
6,A: Here you go Mr. Cavendish. We&#146;ve finished fixing your windshield. That&#146;ll be $120.00.<br>B:______________________________,-0.09125506483,TRUE,3
7,A: I&#146;m starving.<br>B: Maybe we ought to ________________.,2.784377013,FALSE,3
8,"A: Instead of going to the cinema, we went to the theatre.<br>B:_____________________________",1.906120513,FALSE,3
9,A: Is she free for lunch tomorrow?<br>B: I think  ______ tennis with Tatiana.,0.5477533604,FALSE,1
10,A: It&#146;s starting to rain.<br>B: Don&#146;t worry. ________ you my umbrella.,-0.04755778854,FALSE,1
11,A: I want you to leave the keys at Mr. Peterson&#146;s.<br>B: _______________________________,0.467222486,FALSE,3
12,All this tragedy __________________  if we had followed the warnings.,-3.050503059,TRUE,3
13,A: look! That house always looks abandoned.<br>B:_______________________________,1.063036913,FALSE,3
14,______________ a lot of traffic in Bogota.,2.014216057,TRUE,1
15,"Although Jane&#146;s boss _______ to persuade her to stay with the company, she _______ her resignation.",0.4387326272,FALSE,3
16,"Although ________of the lawn is open to the sun, there are ________of shade trees to make it comfortable.",0.1219100386,TRUE,3
17,"Although there are _______brilliant students in this state, only _______will remain in the state after graduation.",1.461718085,FALSE,3
18,Angela and Carlos _____________ at a party when they were in college.,0.5937246393,FALSE,1
19,"A: Nice carpet.<br>B: Thanks, I _____________  by professionals.<br>",2.365773549,FALSE,3
20,"A: No, This is Carla. I&#146;m sorry, Jenny isn&#146;t here at the moment.<br><br>B: ____________________________",-1.219802638,TRUE,3
21,_______________ anyone here who wants to volunteer?,0.8908141,FALSE,1
22,_______________ any public transportation in Los Angeles?<br><br>,1.200579512,TRUE,1
23,_______________ any space to park around here?,2.89401042,TRUE,1
24,"As Yoko __________lunch, Mari and Junko ____________.",-1.861614299,FALSE,2
25,"At 96 years old, Kirk Douglas ____________________ in any movie this summer.",1.290275562,TRUE,1
26,A terrible accident _________________ by the nuclear plant.,1.600115439,FALSE,3
27,At five o&#146;clock it __________heavily.,1.044978347,TRUE,2
28,A tremendous amount of farmland ________   to relieve overpopulation in cities pretty soon.,0.2934493679,FALSE,3
29,"A: We have plenty of money and workers; thus, we hope to finish the house remodelling soon.<br>B:______________________________________________________",0.2519423304,FALSE,3
30,A: What time does the Math class start tomorrow?<br>B: ________ at two-thirty.,3.954042473,TRUE,1
31,"A: Write my name properly, please.<br>B:So  _____ more slowly, please.",-0.2717669732,FALSE,1
